type,h_mean,h_std,s_mean,s_std,v_mean,v_std
7UP(R),35.20930705141232,4.232628260415121,120.9355821987401,18.859077922010986,170.46393009550906,11.248697434962288
7UP(R),36.68313253012048,2.990153150320113,119.11138346489406,32.83521849755095,168.75646032405484,20.032952050589593
7UP(R),35.13143541590914,3.017900273007637,118.36269330310354,28.81773942057491,164.33007507539622,18.042731015050823
7UP(R),36.24378179762578,2.9746782392967024,118.78038439796495,17.960388852797767,169.54670717919728,10.061916593182541
7UP(R),33.881958239526774,5.936412996433557,102.73032269456584,27.69198846748341,173.14907517768066,18.798989413348327
7UP(R),34.65390761455275,4.059545282112107,106.08272325244342,28.75319096183836,171.12984503326024,19.09171357230023
7UP(R),35.707828004410146,5.495169214691315,78.02039691289967,37.97835109337816,189.2045203969129,28.4503002207905
7UP(R),36.02138613861386,6.970967947008772,91.78534653465347,45.36621352758469,182.20871287128713,31.426387400972022
7UP(R),35.997286630488404,1.005960302632497,118.47126295017267,11.941330556711465,164.09083621114948,6.141217584497326
7UP(R),34.3098753375079,7.759736330816533,100.52346757051761,34.14244183467662,175.90951915895903,23.50658085560946
7UP(R),34.58385215930428,3.7402652437453625,101.90236189346773,27.585409029741623,168.8223144579504,20.135445408879175
7UP(R),35.37339211618257,8.209330001556806,119.11452282157677,40.89955635761199,169.41945020746888,27.182156882958378
7UP(R),33.77168475696083,6.9587790925155915,107.32307692307693,26.962482643242364,168.81000471920717,19.711152831964334
7UP(R),34.64891205802357,6.896448899923513,120.45648232094288,25.693273407930953,165.01314596554852,18.45459030538278
7UP(R),33.57115987460815,7.640143390453266,112.84932079414838,28.227887972947737,170.98390804597702,19.62187358197982
7UP(R),35.35544899509996,5.20414507073815,109.59628435919608,32.64215581130143,172.70101931189896,19.628094065085723
7UP(R),34.13777267508611,7.353997999816991,112.70130118637582,28.93826892163079,171.21278224263298,19.932892514837718
7UP(R),37.116116210845085,4.176757571925771,101.90394624775244,37.528830601070595,175.47165704551907,26.095070561452516
7UP(R),37.28557964184731,0.7472660623095416,128.55042412818096,10.222526561556904,161.7554194156456,4.854046121498276
7UP(R),30.82064600871694,6.9051868984456135,112.16693533942325,26.782115362926277,167.62391784584153,19.98488601184056
7UP(R),36.607142857142854,0.5386164774220771,127.73743386243386,4.945788200900388,160.1474867724868,1.9221127680787298
A&W(R) Cream Soda,18.18499515064293,6.787681421563054,121.02052373056347,51.13469362301691,206.64027156399587,19.559376670334576
A&W(R) Cream Soda,20.400888714447916,2.254917276684583,144.30642425601704,30.363097844751348,202.2896031623656,9.53597774274831
A&W(R) Cream Soda,20.214116952155937,0.6138212233999439,131.54843473124632,15.147186482301416,195.4105138806852,5.252889557401583
A&W(R) Cream Soda,17.298157162726007,7.293657346906006,126.65246870653685,54.62751011878111,209.31849791376914,19.34895906598236
A&W(R) Cream Soda,19.972852233676974,0.8082171050021366,143.0127147766323,17.753781162077843,194.45841924398624,6.405900113496699
A&W(R) Cream Soda,20.65035765379113,1.3679418022434517,133.42365283738675,21.01296948121191,195.74687649022414,7.901396447961242
A&W(R) Cream Soda,13.767429193899781,9.84962349196352,96.11220043572985,68.97395741176835,223.1486928104575,22.84515469552564
