type,b_mean,b_std,g_mean,g_std,r_mean,r_std
7UP(R),150.5838244259297,15.058078124729802,207.896565738671,6.454951549343006,198.22800243852876,8.075393837187132
7UP(R),150.557927969094,27.181686429633782,206.56428363726997,11.806103177660715,195.797324803722,14.898490836024312
7UP(R),149.0332121471343,23.915811233971255,203.865248075278,10.806171928867856,195.3885372112917,13.740392907826427
7UP(R),151.3545081967213,14.247654176956477,207.30236009044657,5.9662537967967015,196.57680893159977,8.331699754253997
7UP(R),161.71291718170582,23.22183793031383,209.2593148507858,10.583361445765794,203.52450114780152,12.755994947879215
7UP(R),159.04462089018116,24.05373218315521,208.09028554387535,11.010424779673587,201.18907030492807,13.499793641700636
7UP(R),182.31146637265712,33.083895074269186,218.53472987872107,16.02804378084912,212.6824696802646,18.72988965685038
7UP(R),171.69544554455445,38.49733331448092,214.21940594059407,17.869122093700312,206.9160396039604,21.30705456918607
7UP(R),149.1154415392205,8.99591494967889,203.97157128761717,3.7647743357912082,194.14572027627034,5.143672518972747
7UP(R),164.18295768169273,28.91243146122527,210.85320837166515,13.322291639119706,203.74505519779208,16.030300581289296
7UP(R),160.1454023557359,23.73752719558469,206.60457289913887,11.506227710638987,200.35454815401366,13.203393727006539
7UP(R),150.85892116182572,34.70515724046025,206.74538381742738,15.833546588510309,195.39974066390042,19.754541731457138
7UP(R),157.28853232656914,23.457167207697523,206.661444077395,11.36836390875277,198.94034922133082,13.963223795201205
7UP(R),148.37310047629848,22.35239758654988,204.3372646858698,10.538521798155777,194.44273077795418,12.786288704843178
7UP(R),155.32445697577276,24.204319712609927,208.0456349206349,11.086830989083468,199.7580409356725,13.363102656938553
7UP(R),157.5683777480806,27.252479656246965,209.01679637345072,11.617760607876567,200.52244320415062,15.326597178452772
7UP(R),155.42049368541905,24.95238659623044,208.12265595101417,11.48844556347237,199.1541331802526,14.088108738603385
7UP(R),163.23103872739324,31.941067943504503,210.45999431871982,14.87030490465974,201.1479973487359,17.9464945601062
7UP(R),142.46842601319509,7.947530115708664,202.51272384542884,3.204332338891327,189.54712535344015,3.786962820107248
7UP(R),154.06394549692226,23.476442323938784,205.90455985178988,11.259972590273843,202.4143309627682,12.289512552310184
7UP(R),142.26388888888889,3.1112218305128314,201.4537037037037,1.2206228512578066,190.2202380952381,1.4308719901882792
A&W(R) Cream Soda,164.51091826185032,38.2301996735398,210.63488831103732,18.773088889551182,228.8151884457533,10.640797298282113
A&W(R) Cream Soda,148.1539926616811,23.183640219012467,204.407346721564,10.982188823713049,226.50252079657173,5.222992917722415
A&W(R) Cream Soda,154.6573033707865,10.572044726001181,203.21703134240096,4.842849685819646,222.6691306918983,2.92437487920614
A&W(R) Cream Soda,161.6759388038943,40.373688979456475,211.17906815020862,18.795647077504807,230.33014603616132,10.463676929658623
A&W(R) Cream Soda,146.7328178694158,13.826375087974348,200.17869415807561,7.292327065732068,222.1106529209622,3.607998453200753
A&W(R) Cream Soda,153.47725313667274,15.483599980851055,203.4410497078824,8.003423066241327,222.8369887941768,4.339757852831582
A&W(R) Cream Soda,185.5822440087146,49.84117793610125,223.81263616557735,22.402457980135136,237.90686274509804,12.259873828047173
A&W(R) Cream Soda,146.15804251905334,15.325139484507543,203.48255114320096,7.0354238335541215,224.76855194544726,4.039290310736476
A&W(R) Cream Soda,141.12588401697312,2.663192187890468,200.8802451673739,0.9592307621847959,223.44177274870344,0.8704534833079586
A&W(R) Cream Soda,176.75813953488372,55.08746420754671,219.6936046511628,24.80066495792658,236.3703488372093,13.071518118597558
A&W(R) Cream Soda,169.90243902439025,47.986524417941794,214.62541955694786,22.85620529441796,231.0680241664802,13.405874018150035
A&W(R) Cream Soda,164.12701354240912,41.75598775408304,210.784176764077,20.05255405804973,229.9854312188168,10.80058016360039
A&W(R) Cream Soda,152.0033849203324,23.182983999043593,207.0902188000305,10.792834721231365,228.43330029732408,5.07044898963381
A&W(R) Cream Soda,149.56005895357407,13.54417307608234,203.1208548268239,6.154734073611638,223.96020633750922,3.7042319941307076
A&W(R) Cream Soda,161.40945945945947,24.89567920244513,208.31272522522522,12.230373881278126,226.3992117117117,7.007193813815009
A&W(R) Cream Soda,154.45755904358802,27.441871214862864,208.42695469664113,12.51951710431836,228.87654364030652,6.171580969576589
A&W(R) Cream Soda,144.27822580645162,10.947016938117873,201.73460410557186,5.0238380928771535,226.97617302052785,2.5565059353793567
A&W(R) Cream Soda,172.52202643171807,45.91304665793839,216.93171806167402,21.132118953976594,234.18093140339838,11.491959106991052
A&W(R) Cream Soda,154.48472402363453,18.877015408393035,205.09338521400778,9.291584770112255,225.09273670557718,5.23798557236594
A&W(R) Root Beer,122.59666273386145,66.89695482074083,138.02452384965449,58.773112629911864,176.9523849654475,38.83142407675617
A&W(R) Root Beer,89.08261280244133,40.88198864430239,107.81726367797718,35.351232143286666,156.94819443435298,22.953791791941924
A&W(R) Root Beer,136.45881845623114,79.21979897105025,147.97542043984475,71.41971733143487,181.58387235877532,48.715937168518884
A&W(R) Root Beer,123.49019884360457,40.77954266319618,135.477083627133,35.350171299837484,168.55972359328726,26.383825640008602
A&W(R) Root Beer,121.25596852957135,68.77748450509593,135.7624796527401,61.200733008831065,176.5252306022789,40.47915051025663
A&W(R) Root Beer,125.99213887979037,33.672459475537444,137.84998362266623,29.781067572393226,168.60776285620702,23.622001408583138
A&W(R) Root Beer,94.52360472588857,39.97904808601658,113.94873696178753,34.313835575323324,162.65623609669288,23.158844338113866
A&W(R) Root Beer,99.03287862889123,54.05128829311208,118.20304302203567,46.6012913394422,163.08823015040224,30.149594924847836
A&W(R) Root Beer,110.28877463581834,65.41857143340174,127.42909168808912,57.374876957243,167.98543273350472,38.9117385288225
A&W(R) Root Beer,85.46826722338204,44.3301329126572,106.26617954070981,38.232210296989564,157.537369519833,23.975005734512912
A&W(R) Root Beer,123.36707566462168,34.21557753792837,135.81441717791412,30.214939233451673,165.5935582822086,23.905786864707807
A&W(R) Root Beer,108.51908239468581,48.34886341294845,126.0005363700128,42.46796286994888,172.10809918719315,27.765497225242267
A&W(R) Root Beer,93.7895368010793,37.40664592417723,113.31164742917103,32.049731548161404,155.81561984709938,21.685288059994285
A&W(R) Root Beer,92.87708856220868,47.77089861387997,112.75812119039082,41.68677715088245,160.90441018286123,27.501827024642363
A&W(R) Root Beer,90.01351351351352,31.768239401408838,109.26452436688658,27.547541355506468,155.25271334326453,18.970740583257843
A&W(R) Root Beer,110.23085019295989,65.70096502528011,126.1585779441001,58.44484696385308,167.27704362062917,39.68828472351197
A&W(R) Root Beer,140.14616128141398,75.56702966155379,152.30109085887875,66.90584852732465,186.53728251864126,44.71415926639851
A&W(R) Root Beer,145.36136071887034,71.14284638479093,158.02182284980745,62.652762003477406,189.77107402652973,41.92820199624177
A&W(R) Root Beer,103.46681514476614,35.790961464060715,119.20749814402376,30.954634337768603,161.41143281365999,21.501212547335417
A&W(R) Root Beer,79.15961882072662,26.00073175337506,98.59850440076765,23.47464107264422,151.98305869896103,15.411050386892086
A&W(R) Root Beer,101.05511599839078,49.947159751502824,117.98746144562156,44.08534539249266,164.00962183183586,29.308664167971298
A&W(R) Root Beer,85.32917025552685,29.079904700559755,108.44415733563021,24.631093191810468,155.45506747057135,16.480220860278063
A&W(R) Root Beer,92.70404392355611,34.66314881954187,111.02037799598776,31.67047207246967,154.47883011297645,23.356088363203728
Berry Blue,231.26208041313168,18.750239559433314,215.70343046846182,28.987300276386655,91.46108447067503,118.99912222275702
Berry Blue,227.33382957606693,14.035332954433427,207.3727491847441,23.451954990608193,64.13448178080249,100.18250533200272
Berry Blue,217.06304868316042,2.897837368767661,191.73264166001596,3.3563836517837426,8.442138866719873,19.146744091670552
Berry Blue,217.1740756481088,13.129614702710098,193.6337866553336,13.481175333819133,31.035146621334466,57.713279291848956
