cluster_1_rRGB,cluster_1_gRGB,cluster_1_bRGB,cluster_2_rRGB,cluster_2_gRGB,cluster_2_bRGB,cluster_3_rRGB,cluster_3_gRGB,cluster_3_bRGB,cluster_1_propRGB,cluster_2_propRGB,cluster_3_propRGB
198.61776765375856,208.10728929384965,151.06195899772217,255.00000000000006,254.99999999999997,255.0000000000001,186.34267241379305,199.10129310344823,130.9827586206897,0.8920951026214184,0.013615118878276773,0.09428977850030482
194.57380790521512,205.4886860250557,148.17840147615837,236.78665207877455,239.8019693654254,225.4163019693625,165.67534827377258,183.17989097516548,97.3555420956973,0.8554397042329581,0.07593569559257259,0.06862460017446932
195.56521619464377,203.66908870723557,148.80819090083384,226.4467222884415,229.01477949940332,204.0922526817674,173.45202182285257,188.0797496790751,113.2827342747141,0.7770530367835757,0.08967065868263473,0.13327630453378955
193.9347151128631,205.52605521523884,146.7212385667516,209.01856148491822,215.35452436194888,173.12853828306214,255.0,254.99999999999994,255.0,0.8420717919728661,0.15227529677784057,0.005652911249293386
198.71439240371302,205.38749599914522,152.9041928944847,243.50600885515425,243.48387096774067,234.21442125237107,215.12000000000046,217.20430107526855,183.43483870967685,0.8273883100829948,0.06979516157513685,0.10281652834186827
201.350571523693,207.50959937853733,158.81400510487174,239.1491686460804,240.71258907363344,228.407600950119,188.82654127481675,199.40170174652854,137.86938349007286,0.671810929695072,0.07846864981734139,0.24972042048758666
241.61956521739097,243.58695652173893,233.5478260869569,197.0171568627448,205.48529411764693,154.8995098039219,211.7007434944238,216.90706319702608,180.0799256505576,0.2535832414553473,0.4498346196251378,0.2965821389195149
192.77250608272547,202.44768856447678,145.86557177615597,242.60750853242342,244.31911262798644,235.1109215017063,214.8372881355932,220.03050847457632,189.67118644067796,0.6510891089108911,0.2320792079207921,0.11683168316831684
192.35989675754197,202.67414099048256,145.48499758025483,196.61027190332322,205.64249748237665,155.55186304128907,211.78426698450534,217.2109654350419,179.9094159713948,0.7645535273803651,0.1837074494326591,0.051739023186975826
196.53278070836473,204.9985681989452,150.97324792765662,245.43704936217483,246.28674431503154,238.85745978923785,212.60068995256552,216.80595084087955,181.71410090556225,0.7629944802207912,0.10366835326586936,0.13333716651333946
195.36141533277203,202.31243230232326,151.08159826693938,241.59125964010315,242.97557840617014,233.12082262210743,209.61220472440934,213.85531496063004,178.3897637795275,0.8224289814906464,0.07700682965455805,0.10056418885479561
192.99103954288705,204.80592169339704,146.18862411531805,246.43838489774632,248.03723125327846,241.39433665443264,164.85496957403578,181.9614604462483,99.7819472616644,0.7988070539419088,0.09891078838174273,0.10228215767634855
197.7543841657263,205.48066864936922,154.86832119782588,254.2522935779813,254.33256880733916,253.38532110091666,168.1764705882352,183.9387254901961,112.4387254901961,0.92033978291647,0.041151486550259554,0.03850873053327041
192.55912688894222,202.74766130966665,145.0052770448555,255.0000000000001,255.00000000000006,255.0000000000003,165.91999999999996,181.24000000000004,100.99999999999996,0.9455658879564527,0.03742345202993876,0.017010660013608528
195.2190898107121,204.57470801449836,146.86092092898315,254.99999999999943,254.99999999999991,254.99999999999943,204.55455093429788,210.38456901748054,165.20795660036126,0.7778822055137845,0.04887218045112782,0.17324561403508773
198.3726833078,207.31482983389012,153.91985821994194,233.25580767152564,234.80172879524446,216.24203133441858,158.11965811965825,175.85811965812027,75.73333333333494,0.8723370804182061,0.09700495244084585,0.03065796714094804
197.03715326989277,206.31625835189308,151.62239319700342,253.99369747899215,254.14705882352942,253.02521008403295,146.173469387755,166.6530612244898,64.17346938775503,0.9450822809031765,0.04554152315346345,0.009376195943360123
212.33238636363615,218.82007575757584,184.8910984848482,241.2394459102896,243.98416886543487,233.95580474934243,192.06183502315687,202.99336587808187,146.94717736888455,0.099990531199697,0.14354701259350441,0.7564624562067986
190.87906976744185,203.54883720930235,145.6821705426355,168.62790697674419,183.69767441860466,96.3953488372093,188.50950570342206,201.84410646387835,139.72496831432193,0.6079170593779454,0.020263901979264844,0.3718190386427898
